"","V1","V2"
"Albertonectes_vanderveldei",29,30
"Archaeonectrus_rostratus",8,9
"Aristonectes_quiriquinensis",30,30
"Attenborosaurus_conybeari",9,9
"Avalonnectes_arturi",8,8
"Bobosaurus_forojuliensis",5,5
"Brancasaurus_brancai",19,20
"Callawayasaurus_colombiensis",23,23
"Ceresiosaurus_calcagnii",4,4
"Colymbosaurus_trochanterius",17,18
"Corosaurus_alcovensis",2,3
"Cryptoclidus_eurymerus",15,15
"Cyamodus_orientalis",5,5
"Dactylosaurus_schroederi",3,3
"Diandongosaurus_acutidentatus",3,3
"Dianmeisaurus_gracilis",3,3
"Dianopachysaurus_dingi",3,3
"Dolichorhynchops_osborni",27,29
"Elasmosaurus_platyurus",29,29
"Eopleiosaurus_antiquior",8,8
"Glyphoderma_kangi",5,5
"Hauffiosaurus_longirostris",11,11
"Hauffiosaurus_tomistomimus",11,11
"Hauffiosaurus_zanoni",11,11
"Henodus_chelyops",5,5
"Hydrotherosaurus_alexandrae",30,30
"Kaiwhekea_katiki",30,30
"Keichousaurus_hui",4,5
"Kronosaurus_boyacensis",22,23
"Kronosaurus_queenslandicus",22,24
"Lariosaurus_balsami",4,4
"Lariosaurus_valceresii",4,4
"Lariosaurus_xingyiensis",5,5
"Libonectes_atlasense",26,26
"Lindwurmia_thiuda",8,8
"Liopleurodon_ferox",15,16
"Luskhan_itilensis",21,21
"Macroplata_tenuiceps",8,8
"Manemergus_anguirostris",26,26
"Meyerasaurus_victor",11,11
"Microcleidus_brachypterygius",11,11
"Microcleidus_homalospondylus",11,11
"Microcleidus_sp",11,11
"Microcleidus_tournemirensis",11,11
"Morenosaurus_stocki",30,30
"Muraenosaurus_leedsii",15,16
"Neusticosaurus_edwardsii",4,4
"Neusticosaurus_peyeri",4,4
"Neusticosaurus_pusillus",4,4
"Nichollssaura_borealis",24,24
"Nothosaurus_giganteus",3,5
"Nothosaurus_marchicus",3,4
"Nothosaurus_youngi",5,5
"Panzhousaurus_rotundirostris",3,3
"Paraplacodus_broilii",3,4
"Peloneustes_philarchus",15,15
"Placodus_gigas",3,4
"Placodus_inexpectatus",3,3
"Plesiopterys_wildi",11,11
"Plesiosaurus_dolichodeirus",9,9
"Plesiosaurus_sp",9,9
"Polycotylus_latipinnis",27,29
"Psephochelys_polyosteoderma",5,5
"Psephoderma_alpinum",6,7
"Qianxisaurus_chajiangensis",5,5
"Rhomaleosaurus_cramptoni",11,11
"Rhomaleosaurus_megacephalus",8,8
"Rhomaleosaurus_zetlandicus",11,11
"Sachicasaurus_vitae",22,23
"Seelyosaurus_guilelmiimperatori",11,11
"Serpianosaurus_mirigiolensis",3,4
"Sinocyamodus_xinpuensis",5,5
"Styxosaurus_sp",28,29
"Thalassiodracon_hawkinsii",8,8
"Thalassomedon_haningtoni",25,25
"Trinacromerum_bentonianum",26,26
"Wangosaurus_brevirostris",4,5
"Wumengosaurus_delicatomandibularis",3,3
"Yunguisaurus_liae",5,5
